epoch,train_loss,train_iou,lr
311,0.012769,0.98333,3.23e-05
312,0.012772,0.98296,3.20e-05
313,0.012591,0.98363,3.17e-05
314,0.012490,0.98364,3.14e-05
315,0.012287,0.98424,3.11e-05
316,0.012712,0.98339,3.08e-05
317,0.012391,0.98404,3.06e-05
318,0.012550,0.98349,3.03e-05
319,0.012227,0.98428,3.00e-05
320,0.012136,0.98449,2.97e-05
321,0.012237,0.98413,2.94e-05
322,0.012218,0.98427,2.91e-05
323,0.012198,0.98401,2.89e-05
324,0.012602,0.98339,2.86e-05
325,0.012389,0.98394,2.83e-05
326,0.011998,0.98465,2.80e-05
327,0.012023,0.98454,2.78e-05
328,0.012069,0.98425,2.75e-05
329,0.012151,0.98397,2.72e-05
330,0.011959,0.98465,2.69e-05
331,0.011868,0.98449,2.67e-05
332,0.012494,0.98379,2.64e-05
333,0.011914,0.98488,2.61e-05
334,0.011998,0.98448,2.58e-05
335,0.012043,0.98419,2.56e-05
336,0.011786,0.98474,2.53e-05
337,0.011730,0.98504,2.50e-05
338,0.011586,0.98540,2.48e-05
339,0.011616,0.98535,2.45e-05
340,0.011807,0.98456,2.42e-05
341,0.011733,0.98495,2.40e-05
342,0.011526,0.98540,2.37e-05
343,0.011675,0.98506,2.35e-05
344,0.011695,0.98481,2.32e-05
345,0.011943,0.98449,2.29e-05
346,0.011867,0.98458,2.27e-05
347,0.011529,0.98533,2.24e-05
348,0.011276,0.98597,2.22e-05
349,0.011530,0.98517,2.19e-05
350,0.011520,0.98528,2.17e-05
351,0.011446,0.98521,2.14e-05
352,0.011384,0.98552,2.12e-05
353,0.011529,0.98540,2.09e-05
354,0.011554,0.98503,2.07e-05
355,0.011430,0.98504,2.04e-05
356,0.011329,0.98580,2.02e-05
357,0.011161,0.98587,1.99e-05
358,0.011104,0.98602,1.97e-05
359,0.011180,0.98592,1.94e-05
360,0.011336,0.98546,1.92e-05
361,0.010918,0.98635,1.89e-05
362,0.011216,0.98565,1.87e-05
363,0.011173,0.98600,1.85e-05
364,0.011169,0.98595,1.82e-05
365,0.011237,0.98575,1.80e-05
366,0.010987,0.98637,1.78e-05
367,0.010964,0.98623,1.75e-05
368,0.011038,0.98617,1.73e-05
369,0.010928,0.98638,1.71e-05
370,0.010937,0.98648,1.68e-05
371,0.011052,0.98606,1.66e-05
372,0.010774,0.98674,1.64e-05
373,0.010772,0.98677,1.62e-05
374,0.010722,0.98675,1.59e-05
375,0.010898,0.98611,1.57e-05
376,0.010818,0.98639,1.55e-05
377,0.010830,0.98632,1.53e-05
378,0.010849,0.98618,1.51e-05
379,0.010926,0.98607,1.48e-05
380,0.010905,0.98623,1.46e-05
381,0.010614,0.98681,1.44e-05
382,0.010686,0.98667,1.42e-05
383,0.010788,0.98662,1.40e-05
384,0.010766,0.98652,1.38e-05
385,0.010578,0.98690,1.36e-05
386,0.010534,0.98703,1.34e-05
387,0.010553,0.98692,1.32e-05
388,0.010537,0.98694,1.30e-05
389,0.010615,0.98694,1.28e-05
390,0.010629,0.98642,1.26e-05
391,0.010546,0.98684,1.24e-05
392,0.010472,0.98710,1.22e-05
393,0.010326,0.98741,1.20e-05
394,0.010438,0.98720,1.18e-05
395,0.010368,0.98745,1.16e-05
396,0.010479,0.98707,1.14e-05
397,0.010289,0.98746,1.12e-05
398,0.010484,0.98699,1.10e-05
399,0.010375,0.98730,1.08e-05
400,0.010226,0.98755,1.06e-05
401,0.010320,0.98737,1.05e-05
402,0.010235,0.98757,1.03e-05
403,0.010338,0.98750,1.01e-05
404,0.010216,0.98739,9.91e-06
405,0.010156,0.98764,9.74e-06
406,0.010392,0.98719,9.56e-06
407,0.010453,0.98726,9.39e-06
408,0.010110,0.98765,9.21e-06
409,0.010110,0.98774,9.04e-06
410,0.010080,0.98773,8.87e-06
411,0.010068,0.98792,8.71e-06
412,0.009940,0.98825,8.54e-06
413,0.009956,0.98808,8.38e-06
414,0.009970,0.98803,8.21e-06
415,0.010122,0.98778,8.05e-06
416,0.009998,0.98780,7.89e-06
417,0.010038,0.98775,7.74e-06
418,0.009969,0.98796,7.58e-06
419,0.010150,0.98776,7.43e-06
420,0.009893,0.98815,7.27e-06
421,0.009999,0.98771,7.12e-06
422,0.009870,0.98814,6.97e-06
423,0.009896,0.98821,6.83e-06
424,0.009842,0.98824,6.68e-06
425,0.009845,0.98855,6.54e-06
426,0.009907,0.98823,6.40e-06
427,0.009829,0.98850,6.25e-06
428,0.009896,0.98795,6.12e-06
429,0.009832,0.98820,5.98e-06
430,0.009755,0.98842,5.84e-06
431,0.009824,0.98828,5.71e-06
432,0.009718,0.98843,5.58e-06
433,0.009738,0.98858,5.45e-06
434,0.009637,0.98862,5.32e-06
435,0.009816,0.98840,5.20e-06
436,0.009794,0.98847,5.07e-06
437,0.009756,0.98819,4.95e-06
438,0.009669,0.98854,4.83e-06
439,0.009720,0.98849,4.71e-06
440,0.009662,0.98848,4.59e-06
441,0.009613,0.98869,4.48e-06
442,0.009651,0.98837,4.36e-06
443,0.009643,0.98850,4.25e-06
444,0.009571,0.98872,4.14e-06
445,0.009627,0.98853,4.03e-06
446,0.009579,0.98863,3.93e-06
447,0.009613,0.98860,3.82e-06
448,0.009604,0.98867,3.72e-06
449,0.009540,0.98883,3.62e-06
450,0.009580,0.98866,3.52e-06
451,0.009629,0.98866,3.42e-06
452,0.009582,0.98866,3.33e-06
453,0.009542,0.98888,3.23e-06
454,0.009533,0.98882,3.14e-06
455,0.009519,0.98875,3.05e-06
456,0.009574,0.98881,2.97e-06
457,0.009540,0.98903,2.88e-06
458,0.009485,0.98895,2.80e-06
459,0.009489,0.98881,2.71e-06
460,0.009467,0.98885,2.63e-06
461,0.009444,0.98893,2.56e-06
462,0.009441,0.98915,2.48e-06
463,0.009470,0.98898,2.40e-06
464,0.009454,0.98904,2.33e-06
465,0.009456,0.98915,2.26e-06
466,0.009389,0.98898,2.19e-06
467,0.009409,0.98904,2.13e-06
468,0.009383,0.98908,2.06e-06
469,0.009446,0.98906,2.00e-06
470,0.009355,0.98939,1.94e-06
471,0.009368,0.98901,1.88e-06
472,0.009402,0.98903,1.82e-06
473,0.009378,0.98905,1.76e-06
474,0.009371,0.98900,1.71e-06
475,0.009390,0.98918,1.66e-06
476,0.009378,0.98909,1.61e-06
477,0.009378,0.98917,1.56e-06
478,0.009365,0.98921,1.52e-06
479,0.009358,0.98920,1.47e-06
480,0.009344,0.98929,1.43e-06
481,0.009443,0.98901,1.39e-06
482,0.009395,0.98913,1.35e-06
483,0.009347,0.98918,1.32e-06
484,0.009342,0.98921,1.28e-06
485,0.009343,0.98916,1.25e-06
486,0.009339,0.98913,1.22e-06
487,0.009360,0.98919,1.19e-06
488,0.009401,0.98910,1.17e-06
489,0.009312,0.98910,1.14e-06
490,0.009372,0.98914,1.12e-06
491,0.009346,0.98929,1.10e-06
492,0.009330,0.98917,1.08e-06
493,0.009323,0.98904,1.06e-06
494,0.009374,0.98919,1.05e-06
495,0.009360,0.98906,1.04e-06
496,0.009346,0.98916,1.02e-06
497,0.009330,0.98913,1.02e-06
498,0.009269,0.98915,1.01e-06
499,0.009363,0.98917,1.00e-06
500,0.009307,0.98916,1.00e-06
