timestamp,model,scale,seed,config,psnr,ssim,lpips,score,mae,rmse,error_std,epochs,lr,loss
2026-05-01 15:25:33,fr,16,3,F=64,21.7561,0.4875,0.6902,23.1801,0.0578,0.0817,0.0535,100,0.0001,mse
2026-05-01 15:28:05,fr,16,4,F=64,21.5141,0.4831,0.6986,22.8519,0.0601,0.0840,0.0543,100,0.0001,mse
2026-05-01 15:30:37,fr,16,5,F=64,21.8595,0.4885,0.7046,23.2212,0.0570,0.0807,0.0529,100,0.0001,mse
2026-05-01 15:33:10,fr,16,6,F=64,21.7619,0.4895,0.6977,23.1685,0.0576,0.0816,0.0536,100,0.0001,mse
2026-05-01 15:35:42,fr,16,7,F=64,21.6287,0.4854,0.6960,23.0030,0.0590,0.0829,0.0538,100,0.0001,mse
2026-05-01 15:38:17,fr,16,8,F=64,21.6967,0.4844,0.7046,23.0176,0.0585,0.0823,0.0533,100,0.0001,mse
2026-05-01 15:40:45,fr,16,9,F=64,21.7456,0.4871,0.6959,23.1369,0.0578,0.0818,0.0535,100,0.0001,mse
2026-05-02 21:20:12,wire,2,0,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.6782,0.6898,0.5012,31.0706,0.0286,0.0464,0.0347,100,0.0001,mse
2026-05-02 21:44:15,wire,2,1,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.7573,0.6961,0.4969,31.2333,0.0284,0.0459,0.0343,100,0.0001,mse
2026-05-02 22:08:31,wire,2,2,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.7202,0.6933,0.4976,31.1646,0.0285,0.0461,0.0345,100,0.0001,mse
2026-05-02 22:32:08,wire,2,3,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.8320,0.7009,0.4921,31.3809,0.0281,0.0455,0.0340,100,0.0001,mse
2026-05-02 22:55:42,wire,2,4,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.6477,0.6879,0.4998,31.0273,0.0288,0.0465,0.0347,100,0.0001,mse
2026-05-02 23:19:26,wire,2,5,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.7023,0.6932,0.4988,31.1399,0.0285,0.0462,0.0346,100,0.0001,mse
2026-05-02 23:42:48,wire,2,6,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.8123,0.6993,0.4904,31.3535,0.0282,0.0456,0.0341,100,0.0001,mse
2026-05-03 00:06:21,wire,2,7,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.7525,0.6958,0.4942,31.2392,0.0284,0.0460,0.0344,100,0.0001,mse
2026-05-03 00:29:49,wire,2,8,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.6821,0.6897,0.4998,31.0797,0.0287,0.0463,0.0346,100,0.0001,mse
2026-05-03 00:53:35,wire,2,9,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",26.6929,0.6913,0.5011,31.1000,0.0286,0.0463,0.0346,100,0.0001,mse
2026-04-28 12:57:44,wire,4,0,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7435,0.5667,0.6223,27.2993,0.0368,0.0579,0.0427,100,0.0001,mse
2026-04-28 14:14:35,wire,4,1,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7832,0.5685,0.6182,27.3774,0.0367,0.0577,0.0425,100,0.0001,mse
2026-04-28 15:29:01,wire,4,2,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7061,0.5647,0.6260,27.2230,0.0370,0.0582,0.0429,100,0.0001,mse
2026-04-28 16:43:06,wire,4,3,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7950,0.5692,0.6195,27.3897,0.0366,0.0576,0.0425,100,0.0001,mse
2026-04-28 17:56:39,wire,4,4,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7321,0.5661,0.6228,27.2795,0.0369,0.0580,0.0427,100,0.0001,mse
2026-04-28 19:06:00,wire,4,5,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7447,0.5669,0.6224,27.3020,0.0368,0.0579,0.0427,100,0.0001,mse
2026-04-28 19:59:18,wire,4,6,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.8496,0.5720,0.6141,27.4990,0.0363,0.0572,0.0422,100,0.0001,mse
2026-04-28 21:21:50,wire,4,7,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7666,0.5677,0.6209,27.3393,0.0367,0.0578,0.0426,100,0.0001,mse
2026-04-28 22:59:30,wire,4,8,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7640,0.5674,0.6225,27.3250,0.0368,0.0578,0.0426,100,0.0001,mse
2026-04-28 23:56:27,wire,4,9,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",24.7402,0.5666,0.6215,27.2986,0.0369,0.0579,0.0427,100,0.0001,mse
2026-04-29 11:35:18,wire,8,0,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.4871,0.5254,0.6422,25.5299,0.0445,0.0669,0.0476,100,0.0001,mse
2026-04-29 11:52:19,wire,8,1,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.5047,0.5255,0.6448,25.5358,0.0444,0.0668,0.0475,100,0.0001,mse
2026-04-29 12:13:18,wire,8,2,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.5102,0.5260,0.6449,25.5459,0.0444,0.0668,0.0474,100,0.0001,mse
2026-04-29 12:37:10,wire,8,3,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.5032,0.5265,0.6451,25.5427,0.0444,0.0668,0.0475,100,0.0001,mse
2026-04-29 13:01:14,wire,8,4,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.4915,0.5256,0.6440,25.5272,0.0445,0.0669,0.0475,100,0.0001,mse
2026-04-29 13:24:41,wire,8,5,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.5104,0.5257,0.6440,25.5471,0.0445,0.0668,0.0474,100,0.0001,mse
2026-04-29 13:44:25,wire,8,6,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.4640,0.5255,0.6442,25.4976,0.0446,0.0671,0.0477,100,0.0001,mse
2026-04-29 14:03:23,wire,8,7,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.4814,0.5252,0.6427,25.5196,0.0446,0.0670,0.0476,100,0.0001,mse
2026-04-29 14:22:21,wire,8,8,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.5188,0.5266,0.6434,25.5677,0.0443,0.0667,0.0475,100,0.0001,mse
2026-04-29 14:41:52,wire,8,9,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",23.4782,0.5251,0.6445,25.5073,0.0446,0.0670,0.0476,100,0.0001,mse
2026-04-29 19:49:41,wire,16,0,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",22.0565,0.4965,0.6340,23.8518,0.0555,0.0789,0.0530,100,0.0001,mse
2026-04-29 20:02:02,wire,16,1,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",22.0043,0.4959,0.6340,23.7933,0.0559,0.0794,0.0531,100,0.0001,mse
2026-04-29 20:14:20,wire,16,2,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",22.0538,0.4969,0.6345,23.8502,0.0555,0.0789,0.0530,100,0.0001,mse
2026-04-29 20:26:44,wire,16,3,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",22.0567,0.4984,0.6337,23.8718,0.0554,0.0789,0.0530,100,0.0001,mse
2026-04-29 20:39:25,wire,16,4,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",21.9353,0.4947,0.6334,23.7152,0.0566,0.0800,0.0533,100,0.0001,mse
2026-04-29 20:54:11,wire,16,5,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",22.0654,0.4972,0.6349,23.8623,0.0554,0.0788,0.0529,100,0.0001,mse
2026-04-29 21:06:32,wire,16,6,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",21.9477,0.4956,0.6335,23.7358,0.0563,0.0799,0.0535,100,0.0001,mse
2026-04-29 21:17:52,wire,16,7,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",22.0613,0.4980,0.6352,23.8649,0.0552,0.0789,0.0531,100,0.0001,mse
2026-04-29 21:28:14,wire,16,8,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",22.0458,0.4966,0.6336,23.8436,0.0556,0.0790,0.0530,100,0.0001,mse
2026-04-29 21:38:23,wire,16,9,"first_omega_0=10.0, hidden_omega_0=10.0, sigma0=2.5",22.0339,0.4960,0.6339,23.8243,0.0557,0.0791,0.0530,100,0.0001,mse
2026-05-03 01:09:23,finer,2,0,frequency_bands=6,23.7400,0.5314,0.6537,25.7854,0.0423,0.0650,0.0470,100,0.0001,mse
2026-05-03 01:25:20,finer,2,1,frequency_bands=6,23.7054,0.5308,0.6512,25.7573,0.0425,0.0653,0.0472,100,0.0001,mse
2026-05-03 01:41:47,finer,2,2,frequency_bands=6,23.6991,0.5303,0.6521,25.7420,0.0425,0.0653,0.0472,100,0.0001,mse
2026-05-03 01:58:36,finer,2,3,frequency_bands=6,23.7735,0.5322,0.6546,25.8219,0.0421,0.0648,0.0469,100,0.0001,mse
2026-05-03 02:15:50,finer,2,4,frequency_bands=6,23.6843,0.5301,0.6506,25.7320,0.0427,0.0654,0.0472,100,0.0001,mse
2026-05-03 02:33:51,finer,2,5,frequency_bands=6,23.6784,0.5297,0.6495,25.7282,0.0428,0.0655,0.0472,100,0.0001,mse
2026-05-03 02:50:50,finer,2,6,frequency_bands=6,23.7178,0.5305,0.6496,25.7750,0.0426,0.0652,0.0470,100,0.0001,mse
2026-05-03 03:06:57,finer,2,7,frequency_bands=6,23.7297,0.5310,0.6523,25.7775,0.0424,0.0651,0.0470,100,0.0001,mse
2026-05-03 03:25:05,finer,2,8,frequency_bands=6,23.7276,0.5312,0.6546,25.7667,0.0424,0.0651,0.0471,100,0.0001,mse
2026-05-03 03:43:07,finer,2,9,frequency_bands=6,23.7199,0.5310,0.6510,25.7745,0.0425,0.0652,0.0470,100,0.0001,mse
2026-04-29 00:08:50,finer,4,0,frequency_bands=6,22.4380,0.5062,0.6343,24.3287,0.0513,0.0755,0.0524,100,0.0001,mse
2026-04-29 00:21:01,finer,4,1,frequency_bands=6,22.3005,0.5034,0.6325,24.1717,0.0524,0.0767,0.0530,100,0.0001,mse
2026-04-29 00:34:57,finer,4,2,frequency_bands=6,22.5334,0.5060,0.6336,24.4257,0.0509,0.0747,0.0517,100,0.0001,mse
2026-04-29 00:48:30,finer,4,3,frequency_bands=6,22.3096,0.5044,0.6314,24.1963,0.0522,0.0767,0.0531,100,0.0001,mse
2026-04-29 01:00:51,finer,4,4,frequency_bands=6,22.4308,0.5052,0.6339,24.3131,0.0515,0.0756,0.0523,100,0.0001,mse
2026-04-29 01:12:47,finer,4,5,frequency_bands=6,22.2812,0.5035,0.6342,24.1451,0.0524,0.0769,0.0533,100,0.0001,mse
2026-04-29 01:24:28,finer,4,6,frequency_bands=6,22.3650,0.5036,0.6331,24.2353,0.0520,0.0762,0.0526,100,0.0001,mse
2026-04-29 01:37:09,finer,4,7,frequency_bands=6,22.4344,0.5053,0.6340,24.3175,0.0513,0.0756,0.0525,100,0.0001,mse
2026-04-29 01:49:25,finer,4,8,frequency_bands=6,22.3593,0.5039,0.6333,24.2321,0.0520,0.0762,0.0527,100,0.0001,mse
2026-04-29 02:01:59,finer,4,9,frequency_bands=6,22.3647,0.5033,0.6346,24.2246,0.0520,0.0762,0.0527,100,0.0001,mse
2026-04-29 14:47:16,finer,8,0,frequency_bands=6,21.0856,0.4779,0.6279,22.7253,0.0631,0.0883,0.0579,100,0.0001,mse
2026-04-29 14:52:39,finer,8,1,frequency_bands=6,21.1780,0.4834,0.6285,22.8698,0.0620,0.0873,0.0577,100,0.0001,mse
2026-04-29 14:57:57,finer,8,2,frequency_bands=6,21.0168,0.4770,0.6276,22.6490,0.0636,0.0890,0.0584,100,0.0001,mse
2026-04-29 15:03:12,finer,8,3,frequency_bands=6,21.0961,0.4816,0.6277,22.7734,0.0628,0.0881,0.0580,100,0.0001,mse
2026-04-29 15:08:30,finer,8,4,frequency_bands=6,20.9696,0.4802,0.6275,22.6340,0.0637,0.0894,0.0589,100,0.0001,mse
2026-04-29 15:13:41,finer,8,5,frequency_bands=6,20.9702,0.4786,0.6273,22.6202,0.0638,0.0894,0.0588,100,0.0001,mse
2026-04-29 15:18:57,finer,8,6,frequency_bands=6,20.9227,0.4775,0.6277,22.5593,0.0643,0.0899,0.0589,100,0.0001,mse
2026-04-29 15:23:56,finer,8,7,frequency_bands=6,21.0535,0.4795,0.6278,22.7097,0.0631,0.0886,0.0583,100,0.0001,mse
2026-04-29 15:28:57,finer,8,8,frequency_bands=6,21.1508,0.4826,0.6281,22.8363,0.0623,0.0876,0.0577,100,0.0001,mse
2026-04-29 15:34:23,finer,8,9,frequency_bands=6,20.9984,0.4798,0.6279,22.6567,0.0637,0.0891,0.0584,100,0.0001,mse
2026-04-29 21:41:17,finer,16,0,frequency_bands=6,20.1548,0.4659,0.6291,21.6681,0.0719,0.0982,0.0622,100,0.0001,mse
2026-04-29 21:44:21,finer,16,1,frequency_bands=6,20.2639,0.4677,0.6288,21.7963,0.0708,0.0970,0.0615,100,0.0001,mse
2026-04-29 21:47:13,finer,16,2,frequency_bands=6,20.0617,0.4656,0.6273,21.5814,0.0726,0.0993,0.0630,100,0.0001,mse
2026-04-29 21:49:53,finer,16,3,frequency_bands=6,20.1505,0.4659,0.6294,21.6626,0.0719,0.0983,0.0623,100,0.0001,mse
2026-04-29 21:52:38,finer,16,4,frequency_bands=6,20.0388,0.4655,0.6287,21.5506,0.0726,0.0996,0.0633,100,0.0001,mse
2026-04-29 21:55:37,finer,16,5,frequency_bands=6,19.9706,0.4648,0.6276,21.4808,0.0734,0.1003,0.0636,100,0.0001,mse
2026-04-29 22:02:04,finer,16,6,frequency_bands=6,20.0112,0.4638,0.6289,21.5050,0.0730,0.0999,0.0633,100,0.0001,mse
2026-04-29 22:06:39,finer,16,7,frequency_bands=6,20.1269,0.4680,0.6277,21.6689,0.0718,0.0985,0.0628,100,0.0001,mse
2026-04-29 22:10:45,finer,16,8,frequency_bands=6,20.1306,0.4669,0.6290,21.6544,0.0720,0.0985,0.0625,100,0.0001,mse
2026-04-29 22:14:53,finer,16,9,frequency_bands=6,20.0459,0.4647,0.6281,21.5522,0.0727,0.0995,0.0630,100,0.0001,mse
2026-05-03 04:00:27,mfn,2,0,"input_scale=256.0, alpha=6.0, beta=1.0",26.3124,0.6862,0.5010,30.6690,0.0325,0.0483,0.0316,100,0.0001,mse
2026-05-03 04:17:37,mfn,2,1,"input_scale=256.0, alpha=6.0, beta=1.0",26.3864,0.6887,0.4995,30.7765,0.0321,0.0479,0.0317,100,0.0001,mse
